,id,location,created_at,username,,following,followers,retweetcount,favorite,text
75,1.57E+18,usa,9/25/22 19:44,Akvalleygirl35,,58,18,154,0,"Oz is dangerous for women.  
Oz is dangerous for PA.  
Oz is a Trumper.
Even if he lived in PA he would suck.

Fetterman needs your help!

Help us GOTV for Fetterman to increase Senate seats &amp; codify Roe!

Chip in $10, $25, $50, $100, $250, $500 or more: 
https://t.co/Z3F4lTLVaa https://t.co/Ya7kgJgeaO"
76,1.57E+18,"ephrata, pa",9/25/22 19:44,DeepFrey,,384,145,9,0,"We're concerned to see failed state senate candidate Mike Millerâ€™s name in consideration for an open seat on the @GoMounts board. When Miller was running for state senate, he made himself known as an extremist, far to the right of most Republicans in the PA state legislature: ðŸ§µ https://t.co/9ZH4tqWRsE"
77,1.57E+18,united states,9/25/22 19:42,lindamhays301,,2716,788,1,2,"There's only ONE choice for a strong, intelligent, committed candidate for the US Senate seat for PA, and that is
@JohnFetterman. #Roevember #VoteBlueForSoManyReasons

 @DoctorOz from NJ is another GOP MAGAt! https://t.co/aBgHzxPqVX"
78,1.57E+18,"pennsylvania, usa",9/25/22 19:41,JLCole55,,9956,9751,2,2,Newsmax: John Fetterman Is a Radical Leftist - When Will Pa. Find Out? Read John Gizzi's Report https://t.co/wOR1CSaFLT
79,1.57E+18,,9/25/22 19:40,prof_e_foster,,214,74,10,0,"""The time between the end of voting &amp; the release of unofficial results 'is one of the most precarious time periods for the spread of election myths &amp; disinformation.'"" PA was an epicenter of misinformation in 2022. Election officials begged for a solution
https://t.co/M0wXr7K6mq"
80,1.57E+18,south florida usa,9/25/22 19:39,Krys04992533,,608,389,0,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? https://t.co/DSKX1PTFMV
81,1.57E+18,"pennsylvania, usa",9/25/22 19:38,kellylyric001,,4549,3931,9,0,"We're concerned to see failed state senate candidate Mike Millerâ€™s name in consideration for an open seat on the @GoMounts board. When Miller was running for state senate, he made himself known as an extremist, far to the right of most Republicans in the PA state legislature: ðŸ§µ https://t.co/9ZH4tqWRsE"
82,1.57E+18,,9/25/22 19:36,JamieDoeByrd,,2,0,0,0,"@braveomatic @cacophonoushodw They included it as tossup due to history. To fRutherford illustrate the biasâ€”the WI senate race (obviously not impacted by gerrymandering) is deemed leans R despite deadheat in polls, which should mean tossup. PA Sen is deemed a tossup despite poll average leaning Democratic."
83,1.57E+18,,9/25/22 19:35,brotherlogan,,1596,982,4,0,"The alarm clock is going off loud people. WAKE and get rid of this bum! ðŸ‘Žâ¬‡ï¸ðŸ’¡ John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | Newsmax

https://t.co/gauK0goOq0"
84,1.57E+18,"savannah, ga",9/25/22 19:33,Tamzilla_52,,7425,8741,4,0,"The alarm clock is going off loud people. WAKE and get rid of this bum! ðŸ‘Žâ¬‡ï¸ðŸ’¡ John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | Newsmax

https://t.co/gauK0goOq0"
85,1.57E+18,"ohio, usa, the world.",9/25/22 19:31,Rom_TAlan,,24244,24030,0,1,"#Fetterman is a literal stud, stroke or not ... and he would be a Senate star.  Oz is NOT a wizard, nor a PA resident, nor very bright. If he was your doctor, ever, look for help.
ðŸ—³ï¸â˜®ï¸ðŸŒŠ #SundayThoughts ðŸ³ï¸â€ðŸŒˆ#LGBTQIA #Pride #NOH8 #Resistance #FBR #StrongerTogether2022 #BlueWave https://t.co/1977oyO8hw"
86,1.57E+18,"hometown - chicago, illinois",9/25/22 19:31,tnisha_soaps,,2396,2546,13,0,Good to see @CheriBeasleyNC on national TV. I still think this is Democratsâ€™ best Senate pickup opportunity after PA. https://t.co/RR5y4aqaEW
87,1.57E+18,,9/25/22 19:30,manace_davance,,12,1,0,0,"Mw kwe pou nivow youri,li klÃ¨ ke ou pa gen gwo bilan poum pa di ou pa genyen,nen la si Nou ka ede pep la,nap retire enpe nn Jan pÃ¨p la wÃ¨ Nou,paske li klÃ¨ ke Ariel ap touye tt moun si senatÃ¨ ale 10/23."
88,1.57E+18,"east aurora, ny usa",9/25/22 19:29,timm061,,2000,405,154,0,"Oz is dangerous for women.  
Oz is dangerous for PA.  
Oz is a Trumper.
Even if he lived in PA he would suck.

Fetterman needs your help!

Help us GOTV for Fetterman to increase Senate seats &amp; codify Roe!

Chip in $10, $25, $50, $100, $250, $500 or more: 
https://t.co/Z3F4lTLVaa https://t.co/Ya7kgJgeaO"
89,1.57E+18,"connecticut, usa",9/25/22 19:29,nyorky2000,,5001,3398,4,7,"The alarm clock is going off loud people. WAKE and get rid of this bum! ðŸ‘Žâ¬‡ï¸ðŸ’¡ John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | Newsmax

https://t.co/gauK0goOq0"
